account_id,company_name,segment,industry,employee_count,subscription_plan,annual_contract_value,monthly_recurring_revenue,country,region,created_at,contract_start_date,contract_end_date,account_status,churn_status,churn_date,health_score,customer_success_owner,support_plan
acct_0019,Harbor Services 018,mid_market,healthcare,1143,enterprise,188790.53,15732.54,IN,Asia Pacific,2023-04-01T00:00:00Z,2023-04-05T00:00:00Z,2024-04-04T00:00:00Z,active,not_churned,,92,csm_11,dedicated
acct_0020,Brightlane Works 019,individual,construction,1,starter,589.76,49.15,AU,North America,2025-04-26T00:00:00Z,2025-05-22T00:00:00Z,2026-05-22T00:00:00Z,active,not_churned,,62,,email
acct_0021,Northstar Studios 020,enterprise,healthcare,12820,enterprise,157146.28,13095.52,IN,Asia Pacific,2024-05-10T00:00:00Z,2024-05-15T00:00:00Z,2025-05-15T00:00:00Z,churned,churned,2025-08-25T00:00:00Z,41,csm_03,dedicated
acct_0022,Bluefield Collective 021,small_business,software,9,starter,732.14,61.01,GB,Europe,2024-05-08T00:00:00Z,2024-05-22T00:00:00Z,2025-05-22T00:00:00Z,active,not_churned,,58,,email
acct_0023,Keystone Group 022,small_business,marketing,80,starter,554.02,46.17,US,Europe,2023-08-16T00:00:00Z,2023-08-24T00:00:00Z,2024-08-23T00:00:00Z,active,not_churned,,43,,email
acct_0024,Juniper Systems 023,mid_market,education,750,enterprise,219969.26,18330.77,GB,Europe,2023-03-24T00:00:00Z,2023-05-21T00:00:00Z,2024-05-20T00:00:00Z,active,not_churned,,75,csm_11,dedicated
acct_0025,Riverbend Solutions 024,individual,consulting,3,starter,720.07,60.01,IN,Europe,2023-01-12T00:00:00Z,2023-02-27T00:00:00Z,2024-02-27T00:00:00Z,active,not_churned,,81,,email
acct_0026,Metroline Labs 025,individual,consulting,2,starter,742.61,61.88,DE,Europe,2024-07-30T00:00:00Z,2024-08-03T00:00:00Z,2025-08-03T00:00:00Z,active,not_churned,,37,,email
acct_0027,Clearpath Partners 026,enterprise,healthcare,8359,enterprise,213752.3,17812.69,CA,Europe,2023-01-26T00:00:00Z,2023-02-24T00:00:00Z,2024-02-24T00:00:00Z,trial,not_churned,,84,csm_12,dedicated
acct_0028,Summit Digital 027,small_business,marketing,15,starter,482.62,40.22,DE,Asia Pacific,2024-07-30T00:00:00Z,2024-08-14T00:00:00Z,2025-08-14T00:00:00Z,active,not_churned,,45,,email
acct_0029,Harbor Services 028,mid_market,consulting,429,enterprise,199217.1,16601.42,FR,Europe,2023-12-18T00:00:00Z,2024-01-16T00:00:00Z,2025-01-15T00:00:00Z,active,not_churned,,33,csm_03,dedicated
acct_0030,Brightlane Works 029,small_business,construction,79,starter,677.51,56.46,DE,Europe,2024-07-18T00:00:00Z,2024-07-25T00:00:00Z,2025-07-25T00:00:00Z,active,not_churned,,82,,email
acct_0031,Northstar Studios 030,individual,marketing,2,starter,427.57,35.63,BR,Europe,2024-05-03T00:00:00Z,2024-05-29T00:00:00Z,2025-05-29T00:00:00Z,active,not_churned,,84,,email
acct_0032,Bluefield Collective 031,enterprise,software,5853,enterprise,201306.03,16775.5,DE,Europe,2025-03-28T00:00:00Z,2025-04-07T00:00:00Z,2026-04-07T00:00:00Z,active,not_churned,,54,csm_04,dedicated
acct_0033,Keystone Group 032,enterprise,financial_services,13499,enterprise,100923.59,8410.3,IN,Asia Pacific,2023-09-05T00:00:00Z,2023-10-27T00:00:00Z,2024-10-26T00:00:00Z,active,not_churned,,53,csm_18,dedicated
acct_0034,Juniper Systems 033,enterprise,construction,11788,enterprise,173956.63,14496.39,CA,Asia Pacific,2024-06-23T00:00:00Z,2024-07-26T00:00:00Z,2025-07-26T00:00:00Z,active,not_churned,,31,csm_01,dedicated
acct_0035,Riverbend Solutions 034,enterprise,healthcare,3515,enterprise,135783.5,11315.29,BR,Europe,2023-08-20T00:00:00Z,2023-09-02T00:00:00Z,2024-09-01T00:00:00Z,active,not_churned,,73,csm_12,dedicated
acct_0036,Metroline Labs 035,small_business,healthcare,77,starter,409.09,34.09,IN,Asia Pacific,2024-02-06T00:00:00Z,2024-03-22T00:00:00Z,2025-03-22T00:00:00Z,trial,not_churned,,35,,email
acct_0037,Clearpath Partners 036,enterprise,education,8307,enterprise,225969.76,18830.81,BR,North America,2024-11-18T00:00:00Z,2024-11-30T00:00:00Z,2025-11-30T00:00:00Z,active,not_churned,,96,csm_04,dedicated
acct_0038,Summit Digital 037,individual,software,2,starter,648.03,54.0,IN,Europe,2024-01-12T00:00:00Z,2024-01-13T00:00:00Z,2025-01-12T00:00:00Z,active,not_churned,,50,,email
acct_0039,Harbor Services 038,agency,manufacturing,25,business,20973.89,1747.82,DE,Europe,2023-10-24T00:00:00Z,2023-12-17T00:00:00Z,2024-12-16T00:00:00Z,active,not_churned,,30,csm_10,priority
acct_0040,Brightlane Works 039,agency,marketing,61,business,15043.81,1253.65,DE,North America,2024-10-20T00:00:00Z,2024-10-23T00:00:00Z,2025-10-23T00:00:00Z,active,not_churned,,72,csm_03,priority
acct_0041,Northstar Studios 040,small_business,financial_services,42,team,6670.52,555.88,GB,Europe,2025-01-23T00:00:00Z,2025-02-10T00:00:00Z,2026-02-10T00:00:00Z,churned,churned,2026-09-12T00:00:00Z,14,,email_chat
acct_0042,Bluefield Collective 041,mid_market,retail,503,business,31021.73,2585.14,AU,North America,2023-12-21T00:00:00Z,2024-01-01T00:00:00Z,2024-12-31T00:00:00Z,churned,churned,2024-10-07T00:00:00Z,31,csm_05,priority
acct_0043,Keystone Group 042,individual,manufacturing,2,starter,495.15,41.26,CA,Latin America,2023-01-15T00:00:00Z,2023-02-16T00:00:00Z,2024-02-16T00:00:00Z,active,not_churned,,46,,email
acct_0044,Juniper Systems 043,mid_market,construction,910,enterprise,191694.39,15974.53,DE,Europe,2024-05-01T00:00:00Z,2024-06-10T00:00:00Z,2025-06-10T00:00:00Z,active,not_churned,,34,csm_10,dedicated
acct_0045,Riverbend Solutions 044,small_business,consulting,15,team,3807.18,317.26,DE,Asia Pacific,2023-12-28T00:00:00Z,2023-12-30T00:00:00Z,2024-12-29T00:00:00Z,active,not_churned,,93,,email_chat
acct_0046,Metroline Labs 045,individual,software,2,starter,564.58,47.05,DE,Europe,2024-07-14T00:00:00Z,2024-09-10T00:00:00Z,2025-09-10T00:00:00Z,active,not_churned,,81,,email
acct_0047,Clearpath Partners 046,agency,marketing,200,team,6343.26,528.6,GB,Asia Pacific,2024-01-04T00:00:00Z,2024-02-29T00:00:00Z,2025-02-28T00:00:00Z,active,not_churned,,47,,email_chat
acct_0048,Summit Digital 047,mid_market,software,706,enterprise,190709.91,15892.49,BR,Europe,2024-10-17T00:00:00Z,2024-10-29T00:00:00Z,2025-10-29T00:00:00Z,active,not_churned,,55,csm_18,dedicated
acct_0049,Harbor Services 048,individual,manufacturing,1,starter,529.98,44.16,US,Latin America,2025-02-21T00:00:00Z,2025-03-11T00:00:00Z,2026-03-11T00:00:00Z,active,not_churned,,58,,email
acct_0050,Brightlane Works 049,small_business,construction,17,starter,707.04,58.92,US,Europe,2024-07-19T00:00:00Z,2024-09-11T00:00:00Z,2025-09-11T00:00:00Z,active,not_churned,,32,,email
acct_0051,Northstar Studios 050,individual,education,1,starter,325.22,27.1,CA,North America,2023-12-17T00:00:00Z,2023-12-30T00:00:00Z,2024-12-29T00:00:00Z,active,not_churned,,31,,email
acct_0052,Bluefield Collective 051,mid_market,manufacturing,423,enterprise,160533.01,13377.75,IN,Europe,2023-08-23T00:00:00Z,2023-09-16T00:00:00Z,2024-09-15T00:00:00Z,active,not_churned,,55,csm_09,dedicated
acct_0053,Keystone Group 052,individual,marketing,1,starter,443.05,36.92,CA,North America,2024-07-14T00:00:00Z,2024-08-12T00:00:00Z,2025-08-12T00:00:00Z,active,not_churned,,83,,email
acct_0054,Juniper Systems 053,individual,consulting,2,starter,708.54,59.04,DE,Europe,2024-06-14T00:00:00Z,2024-07-09T00:00:00Z,2025-07-09T00:00:00Z,active,not_churned,,72,,email
acct_0055,Riverbend Solutions 054,mid_market,construction,1125,enterprise,114993.0,9582.75,GB,Europe,2023-02-09T00:00:00Z,2023-04-06T00:00:00Z,2024-04-05T00:00:00Z,trial,not_churned,,96,csm_11,dedicated
acct_0056,Metroline Labs 055,small_business,retail,70,team,5420.16,451.68,FR,North America,2023-08-10T00:00:00Z,2023-09-14T00:00:00Z,2024-09-13T00:00:00Z,active,not_churned,,74,,email_chat
acct_0057,Clearpath Partners 056,small_business,manufacturing,13,team,5726.01,477.17,IN,North America,2023-10-22T00:00:00Z,2023-12-05T00:00:00Z,2024-12-04T00:00:00Z,active,not_churned,,59,,email_chat
acct_0058,Summit Digital 057,small_business,healthcare,5,starter,494.07,41.17,AU,Asia Pacific,2023-05-26T00:00:00Z,2023-07-11T00:00:00Z,2024-07-10T00:00:00Z,active,not_churned,,39,,email
acct_0059,Harbor Services 058,mid_market,financial_services,1050,enterprise,188248.32,15687.36,GB,North America,2023-06-12T00:00:00Z,2023-07-04T00:00:00Z,2024-07-03T00:00:00Z,active,not_churned,,48,csm_17,dedicated
acct_0060,Brightlane Works 059,mid_market,consulting,1072,enterprise,151540.75,12628.4,DE,Latin America,2024-10-29T00:00:00Z,2024-12-25T00:00:00Z,2025-12-25T00:00:00Z,active,not_churned,,96,csm_09,dedicated
acct_0061,Northstar Studios 060,enterprise,consulting,13623,enterprise,204720.76,17060.06,BR,North America,2023-09-19T00:00:00Z,2023-11-08T00:00:00Z,2024-11-07T00:00:00Z,active,not_churned,,66,csm_14,dedicated
acct_0062,Bluefield Collective 061,mid_market,software,949,enterprise,181911.71,15159.31,AU,Latin America,2023-11-21T00:00:00Z,2023-12-13T00:00:00Z,2024-12-12T00:00:00Z,active,not_churned,,38,csm_07,dedicated
acct_0063,Keystone Group 062,individual,consulting,3,starter,599.52,49.96,FR,Europe,2023-04-02T00:00:00Z,2023-05-29T00:00:00Z,2024-05-28T00:00:00Z,churned,churned,2023-12-31T00:00:00Z,33,,email
acct_0064,Juniper Systems 063,small_business,consulting,21,starter,656.21,54.68,DE,North America,2023-08-10T00:00:00Z,2023-09-15T00:00:00Z,2024-09-14T00:00:00Z,active,not_churned,,34,,email
acct_0065,Riverbend Solutions 064,individual,manufacturing,1,starter,672.3,56.02,BR,Europe,2025-03-30T00:00:00Z,2025-05-21T00:00:00Z,2026-05-21T00:00:00Z,active,not_churned,,63,,email
acct_0066,Metroline Labs 065,individual,construction,2,starter,625.05,52.09,CA,Latin America,2024-08-27T00:00:00Z,2024-10-09T00:00:00Z,2025-10-09T00:00:00Z,active,not_churned,,81,,email
acct_0067,Clearpath Partners 066,agency,consulting,104,business,18423.13,1535.26,US,Latin America,2024-01-29T00:00:00Z,2024-02-10T00:00:00Z,2025-02-09T00:00:00Z,churned,churned,2024-10-01T00:00:00Z,15,csm_15,priority
acct_0068,Summit Digital 067,individual,software,2,starter,605.96,50.5,IN,Asia Pacific,2024-09-02T00:00:00Z,2024-09-12T00:00:00Z,2025-09-12T00:00:00Z,active,not_churned,,68,,email
acct_0069,Harbor Services 068,enterprise,retail,16784,enterprise,174635.71,14552.98,BR,Asia Pacific,2025-02-19T00:00:00Z,2025-04-10T00:00:00Z,2026-04-10T00:00:00Z,active,not_churned,,34,csm_12,dedicated
acct_0070,Brightlane Works 069,mid_market,marketing,744,enterprise,224878.82,18739.9,US,Europe,2024-12-01T00:00:00Z,2024-12-19T00:00:00Z,2025-12-19T00:00:00Z,trial,not_churned,,35,csm_07,dedicated
acct_0071,Northstar Studios 070,mid_market,retail,364,business,20034.51,1669.54,US,North America,2025-03-19T00:00:00Z,2025-04-02T00:00:00Z,2026-04-02T00:00:00Z,churned,churned,2026-05-14T00:00:00Z,22,csm_14,priority
acct_0072,Bluefield Collective 071,small_business,software,42,team,6061.08,505.09,AU,Europe,2024-05-10T00:00:00Z,2024-06-12T00:00:00Z,2025-06-12T00:00:00Z,active,not_churned,,47,,email_chat
acct_0073,Keystone Group 072,individual,financial_services,3,starter,657.97,54.83,DE,Asia Pacific,2023-09-08T00:00:00Z,2023-09-17T00:00:00Z,2024-09-16T00:00:00Z,active,not_churned,,76,,email
acct_0074,Juniper Systems 073,small_business,software,37,starter,472.75,39.4,BR,Asia Pacific,2024-11-11T00:00:00Z,2024-11-14T00:00:00Z,2025-11-14T00:00:00Z,active,not_churned,,82,,email
acct_0075,Riverbend Solutions 074,mid_market,healthcare,939,business,31059.18,2588.26,DE,Latin America,2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,2025-04-01T00:00:00Z,active,not_churned,,40,csm_02,priority
acct_0076,Metroline Labs 075,enterprise,financial_services,13658,enterprise,184176.52,15348.04,FR,Latin America,2023-03-28T00:00:00Z,2023-05-10T00:00:00Z,2024-05-09T00:00:00Z,trial,not_churned,,55,csm_17,dedicated
acct_0077,Clearpath Partners 076,enterprise,healthcare,16160,enterprise,169914.35,14159.53,AU,Asia Pacific,2023-03-18T00:00:00Z,2023-05-09T00:00:00Z,2024-05-08T00:00:00Z,churned,churned,2024-10-27T00:00:00Z,17,csm_05,dedicated
acct_0078,Summit Digital 077,mid_market,healthcare,1024,enterprise,213853.75,17821.15,FR,North America,2024-09-16T00:00:00Z,2024-10-01T00:00:00Z,2025-10-01T00:00:00Z,active,not_churned,,60,csm_02,dedicated
acct_0079,Harbor Services 078,enterprise,retail,14569,enterprise,168899.57,14074.96,IN,Latin America,2024-09-20T00:00:00Z,2024-11-04T00:00:00Z,2025-11-04T00:00:00Z,active,not_churned,,34,csm_06,dedicated
acct_0080,Brightlane Works 079,individual,consulting,1,starter,409.44,34.12,GB,Asia Pacific,2023-05-04T00:00:00Z,2023-05-31T00:00:00Z,2024-05-30T00:00:00Z,active,not_churned,,86,,email
acct_0081,Northstar Studios 080,enterprise,healthcare,7325,enterprise,104515.7,8709.64,CA,Asia Pacific,2023-11-12T00:00:00Z,2023-12-24T00:00:00Z,2024-12-23T00:00:00Z,active,not_churned,,52,csm_13,dedicated
acct_0082,Bluefield Collective 081,mid_market,software,169,business,35052.06,2921.0,US,North America,2023-07-13T00:00:00Z,2023-08-12T00:00:00Z,2024-08-11T00:00:00Z,active,not_churned,,92,csm_16,priority
acct_0083,Keystone Group 082,small_business,construction,44,team,3797.32,316.44,AU,Latin America,2023-04-10T00:00:00Z,2023-06-04T00:00:00Z,2024-06-03T00:00:00Z,trial,not_churned,,43,,email_chat
acct_0084,Juniper Systems 083,small_business,consulting,23,starter,766.03,63.84,DE,Europe,2023-07-21T00:00:00Z,2023-09-19T00:00:00Z,2024-09-18T00:00:00Z,churned,churned,2024-07-29T00:00:00Z,52,,email
acct_0085,Riverbend Solutions 084,small_business,financial_services,62,starter,640.8,53.4,BR,Asia Pacific,2023-06-27T00:00:00Z,2023-08-11T00:00:00Z,2024-08-10T00:00:00Z,active,not_churned,,87,,email
acct_0086,Metroline Labs 085,individual,marketing,2,starter,389.18,32.43,BR,Europe,2025-03-22T00:00:00Z,2025-04-23T00:00:00Z,2026-04-23T00:00:00Z,active,not_churned,,81,,email
acct_0087,Clearpath Partners 086,small_business,consulting,77,starter,663.51,55.29,FR,Europe,2024-11-30T00:00:00Z,2025-01-20T00:00:00Z,2026-01-20T00:00:00Z,active,not_churned,,54,,email
acct_0088,Summit Digital 087,individual,software,3,starter,336.97,28.08,FR,Europe,2025-04-20T00:00:00Z,2025-05-26T00:00:00Z,2026-05-26T00:00:00Z,active,not_churned,,57,,email
acct_0089,Harbor Services 088,mid_market,consulting,1160,enterprise,198425.05,16535.42,AU,Asia Pacific,2023-04-25T00:00:00Z,2023-05-28T00:00:00Z,2024-05-27T00:00:00Z,active,not_churned,,64,csm_04,dedicated
acct_0090,Brightlane Works 089,small_business,construction,58,starter,523.34,43.61,DE,Latin America,2024-02-20T00:00:00Z,2024-03-10T00:00:00Z,2025-03-10T00:00:00Z,active,not_churned,,91,,email
acct_0091,Northstar Studios 090,agency,construction,115,team,3787.22,315.6,FR,Latin America,2023-12-23T00:00:00Z,2024-01-04T00:00:00Z,2025-01-03T00:00:00Z,active,not_churned,,65,,email_chat
acct_0092,Bluefield Collective 091,small_business,construction,30,team,4897.57,408.13,IN,North America,2024-02-24T00:00:00Z,2024-03-25T00:00:00Z,2025-03-25T00:00:00Z,active,not_churned,,41,,email_chat
acct_0093,Keystone Group 092,enterprise,software,11854,enterprise,101205.39,8433.78,GB,Asia Pacific,2023-11-25T00:00:00Z,2024-01-24T00:00:00Z,2025-01-23T00:00:00Z,active,not_churned,,93,csm_09,dedicated
acct_0094,Juniper Systems 093,individual,marketing,2,starter,387.22,32.27,BR,Latin America,2023-03-09T00:00:00Z,2023-05-04T00:00:00Z,2024-05-03T00:00:00Z,active,not_churned,,87,,email
acct_0095,Riverbend Solutions 094,agency,manufacturing,190,business,28093.87,2341.16,DE,Asia Pacific,2023-06-14T00:00:00Z,2023-07-28T00:00:00Z,2024-07-27T00:00:00Z,active,not_churned,,55,csm_09,priority
acct_0096,Metroline Labs 095,mid_market,marketing,520,business,21036.04,1753.0,BR,Europe,2023-12-03T00:00:00Z,2023-12-30T00:00:00Z,2024-12-29T00:00:00Z,active,not_churned,,36,csm_14,priority
acct_0097,Clearpath Partners 096,mid_market,financial_services,359,business,30371.44,2530.95,BR,Asia Pacific,2023-01-16T00:00:00Z,2023-02-07T00:00:00Z,2024-02-07T00:00:00Z,active,not_churned,,95,csm_09,priority
acct_0098,Summit Digital 097,individual,consulting,2,starter,378.34,31.53,FR,Europe,2025-04-29T00:00:00Z,2025-05-24T00:00:00Z,2026-05-24T00:00:00Z,active,not_churned,,84,,email
acct_0099,Harbor Services 098,individual,manufacturing,1,starter,345.56,28.8,DE,North America,2024-08-06T00:00:00Z,2024-08-21T00:00:00Z,2025-08-21T00:00:00Z,active,not_churned,,69,,email
acct_0100,Brightlane Works 099,enterprise,financial_services,1427,enterprise,153139.28,12761.61,BR,North America,2023-07-14T00:00:00Z,2023-08-30T00:00:00Z,2024-08-29T00:00:00Z,trial,not_churned,,47,csm_14,dedicated
acct_0101,Northstar Studios 100,small_business,construction,32,team,5987.39,498.95,IN,Asia Pacific,2023-10-01T00:00:00Z,2023-10-30T00:00:00Z,2024-10-29T00:00:00Z,active,not_churned,,74,,email_chat
acct_0102,Bluefield Collective 101,individual,retail,2,starter,642.64,53.55,IN,Latin America,2025-04-08T00:00:00Z,2025-06-06T00:00:00Z,2026-06-06T00:00:00Z,active,not_churned,,62,,email
acct_0103,Keystone Group 102,small_business,marketing,73,starter,486.03,40.5,IN,Asia Pacific,2024-07-28T00:00:00Z,2024-08-12T00:00:00Z,2025-08-12T00:00:00Z,active,not_churned,,78,,email
acct_0104,Juniper Systems 103,small_business,healthcare,79,starter,640.29,53.36,IN,Europe,2023-12-29T00:00:00Z,2024-01-28T00:00:00Z,2025-01-27T00:00:00Z,active,not_churned,,79,,email
acct_0105,Riverbend Solutions 104,mid_market,education,754,enterprise,166847.95,13904.0,AU,Latin America,2024-10-22T00:00:00Z,2024-11-23T00:00:00Z,2025-11-23T00:00:00Z,active,not_churned,,74,csm_01,dedicated
acct_0106,Metroline Labs 105,agency,manufacturing,40,team,3191.65,265.97,FR,Latin America,2023-04-06T00:00:00Z,2023-05-29T00:00:00Z,2024-05-28T00:00:00Z,active,not_churned,,69,,email_chat
acct_0107,Clearpath Partners 106,enterprise,manufacturing,17194,enterprise,131190.58,10932.55,BR,Europe,2024-09-26T00:00:00Z,2024-10-22T00:00:00Z,2025-10-22T00:00:00Z,active,not_churned,,88,csm_04,dedicated
acct_0108,Summit Digital 107,small_business,healthcare,36,team,4620.29,385.02,FR,Europe,2024-02-18T00:00:00Z,2024-04-16T00:00:00Z,2025-04-16T00:00:00Z,active,not_churned,,94,,email_chat
acct_0109,Harbor Services 108,small_business,education,52,starter,439.76,36.65,DE,North America,2024-05-29T00:00:00Z,2024-07-08T00:00:00Z,2025-07-08T00:00:00Z,active,not_churned,,38,,email
acct_0110,Brightlane Works 109,mid_market,retail,503,enterprise,210521.56,17543.46,DE,Asia Pacific,2024-08-16T00:00:00Z,2024-08-30T00:00:00Z,2025-08-30T00:00:00Z,active,not_churned,,41,csm_17,dedicated
acct_0111,Northstar Studios 110,agency,consulting,68,business,23859.68,1988.31,IN,Latin America,2023-09-26T00:00:00Z,2023-10-27T00:00:00Z,2024-10-26T00:00:00Z,active,not_churned,,73,csm_15,priority
acct_0112,Bluefield Collective 111,agency,retail,113,team,4470.03,372.5,CA,Asia Pacific,2023-07-14T00:00:00Z,2023-08-27T00:00:00Z,2024-08-26T00:00:00Z,churned,churned,2024-09-06T00:00:00Z,17,,email_chat
acct_0113,Keystone Group 112,individual,education,2,starter,754.85,62.9,DE,North America,2023-01-31T00:00:00Z,2023-02-16T00:00:00Z,2024-02-16T00:00:00Z,active,not_churned,,38,,email
acct_0114,Juniper Systems 113,individual,financial_services,1,starter,614.04,51.17,CA,Asia Pacific,2023-07-13T00:00:00Z,2023-08-16T00:00:00Z,2024-08-15T00:00:00Z,active,not_churned,,39,,email
acct_0115,Riverbend Solutions 114,individual,retail,1,starter,312.53,26.04,CA,North America,2023-11-13T00:00:00Z,2023-11-29T00:00:00Z,2024-11-28T00:00:00Z,active,not_churned,,90,,email
acct_0116,Metroline Labs 115,mid_market,construction,476,business,25738.92,2144.91,AU,Europe,2025-03-09T00:00:00Z,2025-04-03T00:00:00Z,2026-04-03T00:00:00Z,active,not_churned,,79,csm_03,priority
acct_0117,Clearpath Partners 116,agency,construction,100,team,4380.69,365.06,CA,Latin America,2023-12-23T00:00:00Z,2024-02-11T00:00:00Z,2025-02-10T00:00:00Z,active,not_churned,,68,,email_chat
acct_0118,Summit Digital 117,enterprise,construction,11206,enterprise,103918.1,8659.84,AU,Asia Pacific,2024-08-18T00:00:00Z,2024-09-08T00:00:00Z,2025-09-08T00:00:00Z,active,not_churned,,96,csm_10,dedicated
acct_0119,Harbor Services 118,agency,manufacturing,232,team,5394.56,449.55,GB,Europe,2024-12-11T00:00:00Z,2025-01-08T00:00:00Z,2026-01-08T00:00:00Z,active,not_churned,,86,,email_chat
acct_0120,Brightlane Works 119,individual,retail,1,starter,528.63,44.05,FR,Latin America,2024-06-02T00:00:00Z,2024-06-18T00:00:00Z,2025-06-18T00:00:00Z,churned,churned,2025-08-11T00:00:00Z,51,,email
acct_0121,Northstar Studios 120,individual,construction,3,starter,604.92,50.41,IN,North America,2024-03-07T00:00:00Z,2024-03-20T00:00:00Z,2025-03-20T00:00:00Z,active,not_churned,,68,,email
acct_0122,Bluefield Collective 121,individual,retail,1,starter,706.41,58.87,GB,North America,2024-04-11T00:00:00Z,2024-05-23T00:00:00Z,2025-05-23T00:00:00Z,active,not_churned,,69,,email
acct_0123,Keystone Group 122,mid_market,healthcare,1172,enterprise,190283.7,15856.97,DE,Europe,2024-06-06T00:00:00Z,2024-06-10T00:00:00Z,2025-06-10T00:00:00Z,active,not_churned,,42,csm_15,dedicated
acct_0124,Juniper Systems 123,enterprise,software,16444,enterprise,97570.52,8130.88,US,Europe,2023-01-19T00:00:00Z,2023-01-28T00:00:00Z,2024-01-28T00:00:00Z,active,not_churned,,28,csm_13,dedicated
acct_0125,Riverbend Solutions 124,small_business,retail,26,starter,741.11,61.76,DE,North America,2024-08-25T00:00:00Z,2024-10-09T00:00:00Z,2025-10-09T00:00:00Z,active,not_churned,,37,,email
acct_0126,Metroline Labs 125,individual,software,3,starter,683.61,56.97,FR,Europe,2023-11-08T00:00:00Z,2023-12-01T00:00:00Z,2024-11-30T00:00:00Z,active,not_churned,,61,,email
