opportunity_id,account_id,deal_stage,estimated_deal_value,created_at
opp_0153,acct_0147,closed_lost,389.07,2025-07-20T00:00:00Z
opp_0154,acct_0137,procurement,5629.8,2024-05-04T00:00:00Z
opp_0155,acct_0174,security_review,718.15,2025-09-06T00:00:00Z
opp_0156,acct_0388,closed_won,236520.96,2024-05-04T00:00:00Z
opp_0157,acct_0461,closed_lost,6990.63,2025-12-18T00:00:00Z
opp_0158,acct_0206,security_review,3951.84,2025-02-12T00:00:00Z
opp_0159,acct_0285,closed_lost,7631.98,2024-04-24T00:00:00Z
opp_0160,acct_0202,closed_lost,390.11,2025-12-31T00:00:00Z
opp_0161,acct_0280,discovery,9320.3,2024-10-10T00:00:00Z
opp_0162,acct_0224,procurement,285981.54,2024-06-11T00:00:00Z
opp_0163,acct_0378,discovery,691.87,2026-01-18T00:00:00Z
opp_0164,acct_0297,security_review,154476.24,2024-07-22T00:00:00Z
opp_0165,acct_0086,discovery,371.23,2024-08-21T00:00:00Z
opp_0166,acct_0262,closed_lost,168273.25,2025-02-05T00:00:00Z
opp_0167,acct_0367,closed_lost,867.49,2025-12-20T00:00:00Z
opp_0168,acct_0249,closed_lost,312876.54,2024-09-25T00:00:00Z
opp_0169,acct_0161,proposal,703.45,2025-12-12T00:00:00Z
opp_0170,acct_0427,proposal,184871.48,2024-04-26T00:00:00Z
opp_0171,acct_0493,closed_won,240874.11,2026-01-03T00:00:00Z
opp_0172,acct_0472,closed_won,111698.71,2025-11-03T00:00:00Z
opp_0173,acct_0113,closed_won,830.31,2025-10-11T00:00:00Z
opp_0174,acct_0152,closed_won,6610.83,2024-12-19T00:00:00Z
opp_0175,acct_0440,closed_lost,626.83,2024-10-12T00:00:00Z
opp_0176,acct_0051,procurement,301.77,2024-02-29T00:00:00Z
opp_0177,acct_0103,discovery,454.17,2026-01-05T00:00:00Z
opp_0178,acct_0109,proposal,468.27,2024-12-11T00:00:00Z
opp_0179,acct_0470,closed_lost,17672.49,2024-04-03T00:00:00Z
opp_0180,acct_0071,closed_won,19793.4,2025-04-01T00:00:00Z
opp_0181,acct_0459,closed_lost,48288.19,2024-10-03T00:00:00Z
opp_0182,acct_0200,proposal,3091.29,2024-10-31T00:00:00Z
opp_0183,acct_0286,procurement,4455.25,2024-11-29T00:00:00Z
opp_0184,acct_0203,discovery,389.71,2025-07-13T00:00:00Z
opp_0185,acct_0304,closed_lost,43946.63,2024-07-02T00:00:00Z
opp_0186,acct_0471,proposal,128214.41,2025-05-03T00:00:00Z
opp_0187,acct_0446,closed_lost,791.36,2024-06-02T00:00:00Z
opp_0188,acct_0176,closed_lost,578.92,2024-11-17T00:00:00Z
opp_0189,acct_0472,security_review,127712.97,2025-02-28T00:00:00Z
opp_0190,acct_0397,closed_won,363.6,2025-11-29T00:00:00Z
opp_0191,acct_0412,security_review,139193.51,2025-03-19T00:00:00Z
opp_0192,acct_0139,security_review,237164.44,2025-12-13T00:00:00Z
opp_0193,acct_0394,closed_lost,356.32,2024-11-14T00:00:00Z
opp_0194,acct_0296,discovery,21917.41,2025-12-18T00:00:00Z
opp_0195,acct_0038,closed_lost,598.53,2025-01-07T00:00:00Z
opp_0196,acct_0209,closed_lost,1036.76,2024-02-03T00:00:00Z
opp_0197,acct_0305,discovery,166931.76,2024-09-21T00:00:00Z
opp_0198,acct_0373,closed_won,2789.87,2025-06-05T00:00:00Z
opp_0199,acct_0311,security_review,248470.27,2024-06-22T00:00:00Z
opp_0200,acct_0426,closed_won,252101.29,2024-03-29T00:00:00Z
opp_0201,acct_0019,proposal,192112.69,2025-03-11T00:00:00Z
opp_0202,acct_0305,proposal,169213.96,2024-12-10T00:00:00Z
opp_0203,acct_0023,security_review,501.81,2026-01-08T00:00:00Z
opp_0204,acct_0439,discovery,213517.57,2025-06-16T00:00:00Z
opp_0205,acct_0398,proposal,602.62,2024-08-25T00:00:00Z
opp_0206,acct_0112,closed_won,4692.16,2025-06-18T00:00:00Z
opp_0207,acct_0330,closed_lost,17377.07,2025-09-20T00:00:00Z
opp_0208,acct_0404,procurement,222566.26,2025-03-15T00:00:00Z
opp_0209,acct_0414,procurement,36948.73,2025-10-13T00:00:00Z
opp_0210,acct_0439,proposal,199888.67,2024-08-07T00:00:00Z
opp_0211,acct_0475,discovery,30083.84,2024-02-03T00:00:00Z
opp_0212,acct_0143,security_review,7555.45,2024-05-06T00:00:00Z
opp_0213,acct_0240,proposal,400.89,2025-08-28T00:00:00Z
opp_0214,acct_0244,closed_lost,4271.14,2024-09-16T00:00:00Z
opp_0215,acct_0410,closed_won,425.86,2026-01-09T00:00:00Z
opp_0216,acct_0226,discovery,4582.2,2024-04-27T00:00:00Z
opp_0217,acct_0349,proposal,147349.26,2025-03-31T00:00:00Z
opp_0218,acct_0043,closed_won,440.2,2025-11-16T00:00:00Z
opp_0219,acct_0355,closed_lost,2929.08,2025-10-05T00:00:00Z
opp_0220,acct_0256,procurement,800.97,2025-11-09T00:00:00Z
opp_0221,acct_0021,discovery,225531.3,2025-03-26T00:00:00Z
opp_0222,acct_0149,security_review,44711.8,2024-08-26T00:00:00Z
opp_0223,acct_0432,procurement,4813.79,2025-10-23T00:00:00Z
opp_0224,acct_0486,discovery,147597.08,2025-02-14T00:00:00Z
opp_0225,acct_0251,closed_won,26359.34,2024-04-06T00:00:00Z
opp_0226,acct_0460,closed_lost,16387.13,2024-09-25T00:00:00Z
opp_0227,acct_0426,security_review,257195.86,2025-11-11T00:00:00Z
opp_0228,acct_0112,closed_lost,3832.15,2025-01-26T00:00:00Z
opp_0229,acct_0016,discovery,6324.14,2024-11-24T00:00:00Z
opp_0230,acct_0192,discovery,834.05,2025-10-31T00:00:00Z
opp_0231,acct_0293,security_review,257006.08,2024-10-25T00:00:00Z
opp_0232,acct_0336,security_review,192323.33,2024-11-15T00:00:00Z
opp_0233,acct_0165,security_review,24215.69,2025-12-02T00:00:00Z
opp_0234,acct_0174,closed_won,793.99,2024-10-07T00:00:00Z
opp_0235,acct_0252,closed_lost,144681.24,2025-10-29T00:00:00Z
opp_0236,acct_0077,discovery,171523.4,2025-09-17T00:00:00Z
opp_0237,acct_0058,proposal,642.36,2025-04-21T00:00:00Z
opp_0238,acct_0440,procurement,381.95,2025-03-16T00:00:00Z
opp_0239,acct_0353,closed_won,259254.53,2025-07-11T00:00:00Z
opp_0240,acct_0389,discovery,240890.97,2024-03-04T00:00:00Z
opp_0241,acct_0016,discovery,4498.76,2024-08-03T00:00:00Z
opp_0242,acct_0051,discovery,316.41,2025-06-28T00:00:00Z
opp_0243,acct_0458,closed_lost,325.53,2024-05-23T00:00:00Z
opp_0244,acct_0466,proposal,560.15,2025-10-22T00:00:00Z
opp_0245,acct_0453,closed_lost,494.74,2024-08-22T00:00:00Z
opp_0246,acct_0004,discovery,760.79,2025-05-06T00:00:00Z
opp_0247,acct_0469,proposal,34564.81,2024-06-08T00:00:00Z
opp_0248,acct_0497,proposal,5395.45,2025-09-08T00:00:00Z
opp_0249,acct_0287,closed_won,29311.14,2025-09-18T00:00:00Z
opp_0250,acct_0395,closed_lost,27530.37,2024-03-11T00:00:00Z
opp_0251,acct_0140,closed_lost,5858.57,2024-06-13T00:00:00Z
opp_0252,acct_0397,proposal,368.51,2025-08-07T00:00:00Z
opp_0253,acct_0394,closed_lost,574.02,2024-09-13T00:00:00Z
opp_0254,acct_0361,closed_won,118947.98,2025-03-05T00:00:00Z
opp_0255,acct_0272,closed_lost,6501.28,2025-10-13T00:00:00Z
opp_0256,acct_0266,security_review,233579.02,2024-12-27T00:00:00Z
opp_0257,acct_0369,discovery,554.43,2024-10-24T00:00:00Z
opp_0258,acct_0139,security_review,228923.78,2025-02-12T00:00:00Z
opp_0259,acct_0054,proposal,979.49,2024-09-09T00:00:00Z
opp_0260,acct_0453,procurement,674.46,2025-03-28T00:00:00Z
opp_0261,acct_0493,security_review,215631.39,2025-02-18T00:00:00Z
opp_0262,acct_0129,closed_lost,4048.89,2024-09-01T00:00:00Z
opp_0263,acct_0298,procurement,207745.52,2025-12-05T00:00:00Z
opp_0264,acct_0312,closed_lost,136016.16,2025-07-19T00:00:00Z
opp_0265,acct_0144,proposal,211245.94,2025-06-19T00:00:00Z
opp_0266,acct_0044,procurement,204440.28,2024-11-02T00:00:00Z
opp_0267,acct_0122,procurement,844.88,2024-05-13T00:00:00Z
opp_0268,acct_0380,proposal,418.56,2026-01-19T00:00:00Z
opp_0269,acct_0335,procurement,94434.25,2024-03-09T00:00:00Z
opp_0270,acct_0377,proposal,447.85,2024-07-20T00:00:00Z
opp_0271,acct_0232,closed_lost,6712.13,2025-08-20T00:00:00Z
opp_0272,acct_0442,closed_lost,938.03,2025-04-17T00:00:00Z
opp_0273,acct_0370,discovery,356.62,2024-09-18T00:00:00Z
opp_0274,acct_0351,security_review,210797.79,2025-11-13T00:00:00Z
opp_0275,acct_0325,proposal,487.64,2024-10-08T00:00:00Z
opp_0276,acct_0291,closed_won,185143.79,2024-08-30T00:00:00Z
opp_0277,acct_0131,discovery,264328.11,2025-05-22T00:00:00Z
opp_0278,acct_0395,closed_lost,29026.06,2025-03-25T00:00:00Z
opp_0279,acct_0117,procurement,6381.27,2024-02-28T00:00:00Z
opp_0280,acct_0459,proposal,35097.51,2025-04-18T00:00:00Z
opp_0281,acct_0229,closed_lost,43111.27,2024-02-03T00:00:00Z
opp_0282,acct_0500,security_review,3900.68,2024-04-10T00:00:00Z
opp_0283,acct_0262,closed_won,152354.05,2024-06-28T00:00:00Z
opp_0284,acct_0407,closed_lost,281.57,2025-04-06T00:00:00Z
opp_0285,acct_0154,discovery,3380.65,2024-04-03T00:00:00Z
opp_0286,acct_0068,discovery,545.4,2024-10-26T00:00:00Z
opp_0287,acct_0232,security_review,6096.03,2025-08-17T00:00:00Z
opp_0288,acct_0153,closed_won,431.26,2025-11-01T00:00:00Z
opp_0289,acct_0050,security_review,886.71,2024-08-13T00:00:00Z
opp_0290,acct_0316,proposal,459.87,2024-04-23T00:00:00Z
opp_0291,acct_0369,procurement,596.17,2025-09-22T00:00:00Z
opp_0292,acct_0191,procurement,270522.27,2024-07-08T00:00:00Z
opp_0293,acct_0215,discovery,6448.67,2024-06-12T00:00:00Z
opp_0294,acct_0437,procurement,234503.1,2024-03-28T00:00:00Z
opp_0295,acct_0114,security_review,808.05,2024-06-08T00:00:00Z
opp_0296,acct_0069,closed_lost,192024.64,2025-10-03T00:00:00Z
opp_0297,acct_0282,closed_won,386.59,2024-06-10T00:00:00Z
opp_0298,acct_0054,proposal,849.27,2025-09-18T00:00:00Z
opp_0299,acct_0060,security_review,209022.4,2025-01-26T00:00:00Z
opp_0300,acct_0048,proposal,237119.95,2024-10-05T00:00:00Z
opp_0301,acct_0408,closed_won,378.9,2024-07-24T00:00:00Z
opp_0302,acct_0382,discovery,5214.72,2025-08-23T00:00:00Z
opp_0303,acct_0490,proposal,3719.03,2024-05-13T00:00:00Z
opp_0304,acct_0364,discovery,472.63,2025-06-07T00:00:00Z
opp_0305,acct_0323,security_review,641.19,2025-06-08T00:00:00Z
opp_0306,acct_0263,closed_lost,827.73,2025-03-18T00:00:00Z
opp_0307,acct_0496,procurement,262142.7,2025-10-30T00:00:00Z
opp_0308,acct_0352,closed_won,130588.72,2024-10-01T00:00:00Z
opp_0309,acct_0090,procurement,784.49,2025-01-11T00:00:00Z
opp_0310,acct_0242,procurement,5023.05,2025-09-02T00:00:00Z
opp_0311,acct_0007,proposal,37092.49,2025-09-08T00:00:00Z
opp_0312,acct_0176,proposal,653.32,2024-09-29T00:00:00Z
opp_0313,acct_0092,procurement,4654.89,2024-06-13T00:00:00Z
opp_0314,acct_0406,procurement,186554.79,2025-08-18T00:00:00Z
opp_0315,acct_0222,security_review,5973.59,2025-07-18T00:00:00Z
opp_0316,acct_0288,security_review,591.04,2025-11-08T00:00:00Z
opp_0317,acct_0090,closed_won,595.5,2024-08-16T00:00:00Z
opp_0318,acct_0272,security_review,4102.74,2025-05-07T00:00:00Z
opp_0319,acct_0063,security_review,663.7,2024-06-20T00:00:00Z
opp_0320,acct_0050,procurement,741.57,2024-12-03T00:00:00Z
opp_0321,acct_0397,closed_won,411.6,2024-12-09T00:00:00Z
opp_0322,acct_0435,closed_lost,249429.33,2025-10-19T00:00:00Z
opp_0323,acct_0303,security_review,146821.39,2025-04-05T00:00:00Z
opp_0324,acct_0080,discovery,609.43,2025-10-30T00:00:00Z
opp_0325,acct_0472,closed_lost,159483.3,2025-08-11T00:00:00Z
opp_0326,acct_0237,security_review,906.32,2024-10-13T00:00:00Z
opp_0327,acct_0212,discovery,568.55,2025-09-18T00:00:00Z
opp_0328,acct_0394,procurement,421.35,2024-04-30T00:00:00Z
opp_0329,acct_0070,procurement,220872.92,2024-08-02T00:00:00Z
opp_0330,acct_0248,closed_lost,138657.55,2024-04-20T00:00:00Z
opp_0331,acct_0294,procurement,153310.45,2024-11-16T00:00:00Z
opp_0332,acct_0371,procurement,7120.75,2024-03-09T00:00:00Z
opp_0333,acct_0293,security_review,196228.94,2025-10-15T00:00:00Z
opp_0334,acct_0141,discovery,14358.66,2025-08-27T00:00:00Z
opp_0335,acct_0496,closed_lost,147022.27,2024-10-24T00:00:00Z
opp_0336,acct_0412,procurement,129820.38,2024-10-13T00:00:00Z
opp_0337,acct_0359,closed_lost,177233.62,2025-08-24T00:00:00Z
opp_0338,acct_0220,closed_lost,395.58,2024-02-22T00:00:00Z
opp_0339,acct_0468,security_review,188941.09,2025-12-04T00:00:00Z
opp_0340,acct_0387,discovery,440.47,2025-11-25T00:00:00Z
opp_0341,acct_0128,procurement,295755.6,2025-03-01T00:00:00Z
opp_0342,acct_0043,closed_lost,533.7,2025-09-18T00:00:00Z
opp_0343,acct_0179,security_review,335487.3,2025-08-20T00:00:00Z
opp_0344,acct_0411,procurement,123812.51,2025-02-28T00:00:00Z
opp_0345,acct_0424,procurement,577.43,2024-09-22T00:00:00Z
opp_0346,acct_0054,security_review,695.82,2024-02-06T00:00:00Z
opp_0347,acct_0167,discovery,188988.77,2025-08-20T00:00:00Z
opp_0348,acct_0028,discovery,562.64,2025-04-19T00:00:00Z
opp_0349,acct_0129,proposal,4629.43,2026-01-04T00:00:00Z
opp_0350,acct_0007,security_review,45199.12,2025-07-24T00:00:00Z
opp_0351,acct_0335,discovery,117537.09,2025-04-13T00:00:00Z
opp_0352,acct_0344,security_review,207666.46,2024-08-03T00:00:00Z
opp_0353,acct_0184,proposal,146241.2,2025-10-15T00:00:00Z
opp_0354,acct_0192,proposal,888.16,2024-06-04T00:00:00Z
opp_0355,acct_0342,closed_lost,29766.31,2024-04-03T00:00:00Z
opp_0356,acct_0274,closed_lost,203942.57,2025-07-05T00:00:00Z
opp_0357,acct_0105,closed_won,149422.41,2025-02-09T00:00:00Z
opp_0358,acct_0409,proposal,199895.23,2025-04-26T00:00:00Z
opp_0359,acct_0313,closed_won,343.8,2024-10-18T00:00:00Z
opp_0360,acct_0290,proposal,505.02,2025-10-01T00:00:00Z
opp_0361,acct_0125,discovery,653.97,2024-04-04T00:00:00Z
opp_0362,acct_0270,procurement,189113.18,2024-12-14T00:00:00Z
opp_0363,acct_0052,discovery,200986.47,2025-03-30T00:00:00Z
opp_0364,acct_0346,closed_lost,299462.67,2026-01-13T00:00:00Z
opp_0365,acct_0195,proposal,236423.18,2024-12-28T00:00:00Z
opp_0366,acct_0331,closed_won,2904.4,2024-08-08T00:00:00Z
opp_0367,acct_0433,security_review,209734.27,2024-12-02T00:00:00Z
opp_0368,acct_0401,security_review,203827.99,2025-11-30T00:00:00Z
opp_0369,acct_0375,proposal,109199.08,2024-08-02T00:00:00Z
opp_0370,acct_0461,procurement,5645.07,2024-10-23T00:00:00Z
opp_0371,acct_0219,closed_lost,270583.1,2024-06-08T00:00:00Z
opp_0372,acct_0305,closed_lost,141720.33,2025-07-13T00:00:00Z
opp_0373,acct_0478,closed_won,129409.64,2024-03-27T00:00:00Z
opp_0374,acct_0120,security_review,643.27,2025-08-13T00:00:00Z
opp_0375,acct_0302,closed_won,199072.25,2024-05-10T00:00:00Z
opp_0376,acct_0273,closed_lost,4581.58,2024-08-12T00:00:00Z
opp_0377,acct_0192,proposal,1066.16,2024-03-17T00:00:00Z
opp_0378,acct_0117,discovery,4534.65,2025-09-12T00:00:00Z
opp_0379,acct_0032,closed_lost,267298.4,2025-03-14T00:00:00Z
opp_0380,acct_0480,discovery,853.48,2025-09-15T00:00:00Z
opp_0381,acct_0210,discovery,19218.02,2025-07-29T00:00:00Z
opp_0382,acct_0432,security_review,3171.08,2024-02-26T00:00:00Z
opp_0383,acct_0187,security_review,3520.65,2024-09-22T00:00:00Z
opp_0384,acct_0175,proposal,5618.84,2025-08-12T00:00:00Z
